task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
70	fe/0dab44	38321991	run_discovery_analysis_trans (55)	COMPLETED	0	2025-10-20 00:06:42.265	1h 14m 25s	1h 14m 21s	98.8%	920.9 MB	1.7 GB	45 MB	782.8 KB
148	c6/d3ab25	38322068	run_discovery_analysis_trans (133)	COMPLETED	0	2025-10-20 00:06:57.269	1h 14m 15s	1h 13m 11s	99.0%	918 MB	1.7 GB	44.8 MB	777.7 KB
93	88/78e18f	38322011	run_discovery_analysis_trans (78)	COMPLETED	0	2025-10-20 00:06:46.271	1h 14m 41s	1h 14m 38s	99.1%	908.2 MB	1.7 GB	44.7 MB	791.4 KB
75	83/981f94	38321994	run_discovery_analysis_trans (60)	COMPLETED	0	2025-10-20 00:06:42.867	1h 14m 44s	1h 13m 46s	99.1%	923 MB	1.7 GB	42.5 MB	747.8 KB
147	09/6351a7	38322071	run_discovery_analysis_trans (132)	COMPLETED	0	2025-10-20 00:06:57.867	1h 14m 54s	1h 13m 26s	99.0%	915.2 MB	1.7 GB	43.5 MB	768.2 KB
101	d0/27ed8e	38322025	run_discovery_analysis_trans (86)	COMPLETED	0	2025-10-20 00:06:48.878	1h 15m 3s	1h 14m 58s	99.0%	918.3 MB	1.7 GB	44.2 MB	805.4 KB
42	42/3d5cb5	38321961	run_discovery_analysis_trans (27)	COMPLETED	0	2025-10-20 00:06:36.274	1h 15m 21s	1h 15m 16s	98.6%	911.1 MB	1.7 GB	42.6 MB	779.6 KB
262	67/47be8e	38322184	run_discovery_analysis_trans (247)	COMPLETED	0	2025-10-20 00:07:20.471	1h 14m 37s	1h 14m 29s	98.8%	920.7 MB	1.7 GB	42.7 MB	766.4 KB
279	37/ff8e1c	38322202	run_discovery_analysis_trans (264)	COMPLETED	0	2025-10-20 00:07:24.069	1h 14m 33s	1h 14m 28s	98.9%	910.2 MB	1.7 GB	44.1 MB	773.4 KB
305	a8/fc35f9	38322226	run_discovery_analysis_trans (290)	COMPLETED	0	2025-10-20 00:07:28.866	1h 14m 38s	1h 14m 29s	99.1%	905.8 MB	1.7 GB	43.3 MB	768.9 KB
261	26/f2277f	38322182	run_discovery_analysis_trans (246)	COMPLETED	0	2025-10-20 00:07:20.071	1h 14m 47s	1h 14m 43s	98.8%	908.5 MB	1.7 GB	43.2 MB	785.4 KB
263	4b/1338a3	38322185	run_discovery_analysis_trans (248)	COMPLETED	0	2025-10-20 00:07:20.668	1h 15m 2s	1h 14m 55s	98.8%	912.8 MB	1.7 GB	44.8 MB	824.5 KB
282	a3/17124b	38322203	run_discovery_analysis_trans (267)	COMPLETED	0	2025-10-20 00:07:24.270	1h 15m 3s	1h 14m 59s	98.9%	905.7 MB	1.7 GB	42.4 MB	747 KB
379	26/bdec29	38322302	run_discovery_analysis_trans (364)	COMPLETED	0	2025-10-20 00:07:44.067	1h 14m 43s	1h 14m 27s	98.9%	909.6 MB	1.7 GB	43.9 MB	749.4 KB
95	5c/959a0b	38322016	run_discovery_analysis_trans (80)	COMPLETED	0	2025-10-20 00:06:47.271	1h 15m 40s	1h 15m 35s	96.8%	915.8 MB	1.7 GB	43 MB	756.8 KB
377	cb/5fa876	38322299	run_discovery_analysis_trans (362)	COMPLETED	0	2025-10-20 00:07:43.468	1h 14m 49s	1h 14m 39s	98.8%	921 MB	1.7 GB	46.3 MB	789 KB
107	db/08a258	38322027	run_discovery_analysis_trans (92)	COMPLETED	0	2025-10-20 00:06:49.271	1h 15m 43s	1h 15m 38s	99.0%	926.2 MB	1.7 GB	43.9 MB	786.7 KB
